Text,True_Label,Predicted_Label
kikuyus like israelite never change matter wat say kikuyus,Offensive,Neither
cant withdraw detail presidential candidate mate wrong caretaker govt noreformsnoelections,Offensive,Neither
put nob head authority get fck town luolivesmatter,Offensive,Neither
kill democracy like nyanza behind inept odinga political future follow kikuyus,Hate Speech,Neither
wakikuyu tumeamua baba hawa walevi wametuzoea sana,Offensive,Neither
wonder luhyas like chicken try living thing say karma bitch getting one back,Offensive,Neither
shall deconstruct jubilee brick brick watch pace power username_ noreformsnoelections,Offensive,Neither
see maina njenga uhurus rally understand force behind mungikis sudden emergence noreformsnoelections,Offensive,Neither
yes maraga purged many non kisii admin staff isnt fair let alone christian claim,Offensive,Neither
matter kikuyus live foreign land want dictate leadership character cost life warning,Hate Speech,Neither
kikuyus hardworking opportunistskenya lucky,Hate Speech,Neither
kikuyus everywhere tired kikuyus appointment alafu mnatuambia ety,Hate Speech,Neither
kikuyus kill ati ukipata mkikuyu hell ati ako apo juu dhambianauza fire extinguisher,Hate Speech,Offensive
babu owino say yet said jubilee politician country raila abused everyday noreformsnoelections,Offensive,Neither
luo sophisticated people tell even romantic time overheard neighbour telling,Offensive,Neither
extremely stupid election without reform everything like noreformsnoelections mbuzikichinjioni,Offensive,Neither
kikuyus one cheering murder fellow kenyan supposed enemy tribe special place hell kind despicablebigot,Offensive,Neither
kisumu sent mungiki boy kill luo human being luolivesmatter,Hate Speech,Neither
uhuru renegade agreed bill even commanded mp pas way show someone scared norailanopeace,Offensive,Neither
hawa wajaluo airlift kmbe kule walienda kusumbua sana username_ username_ mmechki philip ochieng pulld barack snr,Hate Speech,Neither
bashed ababu faraa maalim sober username_ username_ username_ mundukhumundu username_ username_,Offensive,Neither
luo nigerian alike infact tha difference luo nigerian rao failed presidency bid,Offensive,Neither
nigga called evans kisiis find lol,Offensive,Neither
kama mnajua mahali zimewekwa hata nyinyi ibeni kama mnaona mkivote zitaibiwa weka kwa nyumba ama kwa chief wembeniuleule,Neither,Offensive
havent seen username_ gichuru preaching peace lately downing peace product set principle ripmsando,Offensive,Neither
username_ kenya idiotic masai cow,Hate Speech,Neither
kalekye add kamba word song matter sweet sound kill musical boner,Offensive,Neither
